[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,SAMPLE S4 M VS H AT 3 KELVIN
FILEOPENTIME,2827018.81,06/20/2017,5:24 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc,SAMPLE_MATERIAL
INFO,SF20170517 S4,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.03,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2827500.105,3.001515,16950.416,5.21772367840769E-6,4.39001872004629E-7,1,0.999253354069792,40.0298881530762,1.98025526002202,9.28000226616859,6.30767740137032E-5,-1.48395207199901E-5,0.25,-2.27002246125668E-6,5.20493357279699E-6,-2.22728778225512E-6,3.0014889,3.0015411,16883.355,17017.477,51.5937352973901,18.3340128509614,0.610839,0,0,0,4961,2.9941,16950.416,,,,,,,,,,,,,,,,,13.400279,,,,,,3.001515,,,,
,2827501.33,3.0011946,16816.3885,5.31678358493351E-6,4.69496624572311E-7,1,0.999253354069792,40.0298881530762,1.98018470540849,9.29000187665224,6.34248800011443E-5,-1.04519029604278E-5,0.25,-1.89640492411989E-6,5.30117070159795E-6,-1.85499167757155E-6,3.0009003,3.0014889,16749.422,16883.355,51.7500610012362,18.3350127502978,0.610839,0,0,0,4961,2.99395,16816.3885,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0011946,,,,
,2827502.655,3.0010544,16675.411,5.76901822733671E-6,5.66143297100779E-7,1,0.999253354069792,40.0298881530762,1.98027019462942,9.28000226616859,6.82883551903483E-5,-8.3998004884401E-6,0.25,-1.79514225051115E-6,5.75041398211517E-6,-1.75157014776087E-6,3.0009003,3.0012085,16601.4,16749.422,51.1005277017554,18.3360952305315,0.610839,0,0,0,4961,2.9936,16675.411,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0010544,,,,
,2827505.055,3.0009272,16415.434,6.90688657789583E-6,4.56474941963065E-7,1,0.999253354069792,40.0298881530762,1.98028982683838,9.28000226616859,8.11393781140068E-5,-6.65494126537454E-6,0.25,-1.84551605724127E-6,6.8826000118156E-6,-1.79497320757313E-6,3.0009272,3.0009272,16404.727,16426.141,51.5530906143901,18.3365483049754,0.6078031,0,0,0,4961,2.9936,16415.434,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0009272,,,,
,2827506.595,3.0005291,16260.463,8.35636751774773E-6,5.86537507206937E-7,1,0.999253354069792,40.0298881530762,1.98026970549755,9.28000226616859,9.81989409078741E-5,-8.24065058647792E-6,0.25,-2.24961696435557E-6,8.32694047613763E-6,-2.18843900352631E-6,3.0005291,3.0005291,16249.568,16271.358,51.5280785017747,18.3354495061747,0.610839,0,0,0,4961,2.99325,16260.463,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0005291,,,,
,2827507.275,3.0003909,16186.546,8.45878611922078E-6,5.16911841278739E-7,1,0.999253354069792,40.0298881530762,1.98030079975362,9.28000226616859,9.94733540430995E-5,-8.72886413516641E-6,0.25,-2.31169477965693E-6,8.42913398098329E-6,-2.24961798225719E-6,3.0002527,3.0005291,16123.524,16249.568,51.5116643028708,18.334611780802,0.6139054,0,0,0,4961,2.9945,16186.546,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0003909,,,,
,2827508.465,3.0010793,16056.8395,8.68092447638152E-6,5.97315746289465E-7,1,0.999253354069792,40.0298881530762,1.98020400567023,9.28000226616859,0.000101258713584759,-4.42851132535812E-6,0.25,-1.96809553112577E-6,8.64797182150595E-6,-1.90651671139668E-6,3.0002527,3.0019059,15990.155,16123.524,51.7477161156786,18.3334741369268,0.6078638,0,0,0,4961,2.9952,16056.8395,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0010793,,,,
,2827510.53,3.0009421,15835.933,1.05904710251382E-5,4.97313470653848E-7,1,0.999253354069792,40.0298881530762,1.98020164553794,9.28000226616859,0.000121623559040278,5.1179651991448E-6,0.25,-1.46185860645027E-6,1.05444650853869E-5,-1.39169518483187E-6,3.0008786,3.0010056,15815.081,15856.785,51.3881669968324,18.3354062740979,0.610839,0,0,0,4961,2.9941,15835.933,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0009421,,,,
,2827512.33,3.0009832,15663.9615,1.1131182904027E-5,4.74544841885009E-7,1,0.999253354069792,40.0298881530762,1.98022652020441,9.28000226616859,0.00012928223169738,-2.62315711321528E-6,0.25,-2.25060190398109E-6,1.10868483963759E-5,-2.1732698011806E-6,3.0009832,3.0009832,15640.386,15687.537,51.6547023218901,18.3330166373398,0.6017615,0,0,0,4961,2.9943,15663.9615,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0009832,,,,
,2827513.9,3.00072135,15492.0835,1.20317857553354E-5,4.79410508985096E-7,1,0.999253354069792,40.0298881530762,1.98028876833853,9.28000226616859,0.00013873589799222,2.72950309683118E-6,0.25,-1.93586213179322E-6,1.19807206871087E-5,-1.85495961228726E-6,3.0006528,3.0007899,15471.513,15512.654,51.5749762129285,18.3365984245248,0.6139054,0,0,0,4961,2.9941,15492.0835,,,,,,,,,,,,,,,,,12.644608,,,,,,3.00072135,,,,
